80.000	0.390	1.000	1.000	1.000	1.000	1.000	1.000	1.000
70.000	0.530	0.000	0.000	0.000	0.000	0.000	0.000	0.000
60.000	0.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000
50.000	0.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000
40.000	1.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000
30.000	1.380	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.000	1.790	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10.000	2.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	2.360	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.000	2.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-20.000	3.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-30.000	3.360	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-40.000	3.940	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-50.000	3.940	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-60.000	4.220	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-70.000	4.380	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-80.000	4.570	0.000	0.000	0.000	0.000	0.000	0.000	0.000
